data;totale;settore
01-01-2013;613.9658000000001;Calcio
04-02-2014;205.261;Pesca
07-07-2014;412.174;Fitness
22-08-2014;656.67;Fitness
26-09-2014;1065.54;Fitness
22-11-2014;149.79510000000002;Pattini
02-12-2014;247.387;Calcio
09-12-2014;268.45;Pesca
10-12-2014;309.75;Basket
10-01-2015;1156.4;Pesca
11-01-2015;825.174;Casual
19-01-2015;61.949999999999996;Calcio
19-01-2015;371.7;Casual
19-01-2015;697.97;Fitness
19-01-2015;164.374;Pesca
19-01-2015;61.949999999999996;Running
26-01-2015;301.2835;Pesca
01-02-2015;246.974;Calcio
24-02-2015;1486.8;Pesca
25-02-2015;82.187;Fitness
03-03-2015;2213.68;Running
06-03-2015;329.987;Fitness
09-03-2015;1239;Casual
12-03-2015;664.93;Casual
15-03-2015;732.0425;Calcio
17-03-2015;805.3499999999999;Fitness
18-03-2015;1643.74;Fitness
19-03-2015;138.355;Nuoto
19-03-2015;908.6;Running
25-03-2015;1065.54;Fitness
25-03-2015;1800.6799999999998;Pesca
26-03-2015;185.85;Casual
27-03-2015;660.387;Casual
27-03-2015;206.5;Snowboard
27-03-2015;309.75;Trekking
31-03-2015;28.497;Arti marziali
31-03-2015;206.5;Calcio
31-03-2015;6534.486;Casual
31-03-2015;1253.8680000000002;Fitness
06-04-2015;144.54999999999998;Casual
06-04-2015;3295.74;Fitness
07-04-2015;313.88;Casual
08-04-2015;867.3;Calcio
09-04-2015;412.587;Casual
10-04-2015;1300.9499999999998;Calcio
10-04-2015;871.0169999999999;Casual
10-04-2015;206.087;Fitness
11-04-2015;103.25;Calcio
11-04-2015;135.464;Pesca
13-04-2015;681.037;Calcio
13-04-2015;1239;Running
14-04-2015;497.66499999999996;Calcio
14-04-2015;742.5740000000001;Casual
14-04-2015;570.766;Pesca
15-04-2015;664.517;Calcio
15-04-2015;4101.090000000001;Casual
15-04-2015;748.356;Pesca
15-04-2015;1957.62;Running
15-04-2015;136.29;Snowboard
16-04-2015;510.05499999999995;Calcio
16-04-2015;2270.2609999999995;Casual
16-04-2015;2469.74;Pesca
17-04-2015;297.36;Basket
17-04-2015;144.137;Calcio
17-04-2015;1299.298;Casual
17-04-2015;2295.454;Fitness
17-04-2015;523.684;Mare
17-04-2015;82.187;Nuoto
17-04-2015;717.3810000000001;Pesca
17-04-2015;1618.96;Snowboard
17-04-2015;49.436099999999996;Tennis
18-04-2015;247.387;Bambino
18-04-2015;494.774;Basket
18-04-2015;407.6310000000001;Calcio
18-04-2015;1082.06;Casual
18-04-2015;3117.1175000000003;Fitness
18-04-2015;1160.53;Pesca
18-04-2015;1552.467;Running
18-04-2015;309.337;Sci
18-04-2015;578.1999999999999;Snowboard
18-04-2015;185.85;Trekking
18-04-2015;268.45;Volley
19-04-2015;619.087;Basket
19-04-2015;1784.1599999999999;Calcio
19-04-2015;6271.405000000001;Casual
19-04-2015;610.001;Fitness
19-04-2015;133.81199999999998;Mare
19-04-2015;3792.9919999999997;Pesca
19-04-2015;499.72999999999996;Running
19-04-2015;1032.5;Snowboard
20-04-2015;1674.302;Calcio
20-04-2015;6950.790000000001;Casual
20-04-2015;1950.8881000000003;Fitness
20-04-2015;123.487;Mare
20-04-2015;1554.3255;Pesca
20-04-2015;574.0699999999999;Running
20-04-2015;2370.62;Snowboard
20-04-2015;861.931;Trekking
21-04-2015;288.687;Basket
21-04-2015;1630.937;Calcio
21-04-2015;3739.7149999999997;Casual
21-04-2015;844.9979999999999;Fitness
21-04-2015;313.46700000000004;Mare
21-04-2015;123.487;Nuoto
21-04-2015;1414.5249999999999;Pesca
21-04-2015;3175.557;Sci
21-04-2015;920.5769999999999;Snowboard
22-04-2015;900.34;Bambino
22-04-2015;371.28700000000003;Basket
22-04-2015;873.495;Calcio
22-04-2015;4874.226;Casual
22-04-2015;2101.7569999999996;Fitness
22-04-2015;65.667;Mare
22-04-2015;1228.4685;Pesca
22-04-2015;642.628;Running
22-04-2015;412.587;Sci
22-04-2015;106.8431;Tennis
22-04-2015;268.03700000000003;Trekking
23-04-2015;123.487;Bambino
23-04-2015;199.3551;Basket
