data,Football,Casual,Fishing
2016-01-03,11822.538,10758.650000000001,10347.3846
2016-01-10,13732.8695,36875.944,27789.531
2016-01-17,14885.5112,29357.072500000002,26809.895
2016-01-24,9608.032,24137.372,21848.2369
2016-01-31,10920.958999999999,31335.136,15343.941200000001
2016-02-07,14704.3281,33953.969,30145.8612
2016-02-14,24358.0792,27748.4375,26888.7367
2016-02-21,11981.0061,12131.668500000002,24681.8712
2016-02-28,19311.467,8269.086,23872.5564
2016-03-06,17595.452,28697.305,21916.1341
2016-03-13,18355.5785,21492.107,19767.3777
2016-03-20,15313.627,17842.426,17316.1401
2016-03-27,7367.5070000000005,14497.539,20165.3445
2016-04-03,18211.235,27001.114,28335.186599999997
2016-04-10,21398.4386,25976.461,34992.4162
2016-04-17,14506.0055,16882.201,28672.9793
2016-04-24,5725.419,18396.259,28101.8829
2016-05-01,9938.019,26263.909,21741.187299999998
2016-05-08,17694.985,26921.6115,25133.4454
2016-05-15,17310.482,25653.908,21725.658499999998
2016-05-22,8877.021999999999,18151.143500000002,21276.521
2016-05-29,20370.605499999998,13070.624,23164.798300000002
2016-06-05,12813.1185,29355.627,17629.896200000003
2016-06-12,30704.1133,25798.6645,22614.3106
2016-06-19,15921.4391,23060.268,23143.4462
2016-06-26,13200.0995,12820.9655,24694.095999999998
2016-07-03,20171.5395,33740.035,18916.3086
2016-07-10,19691.3031,23721.6875,14695.4486
2016-07-17,21940.0468,26699.7066,24247.519099999998
2016-07-24,21235.9231,27168.792,30075.692499999997
2016-07-31,17846.143,14492.789499999999,27833.8046
2016-08-07,18338.026,28619.248,22743.084000000003
2016-08-14,24702.356,21875.371,23969.2397
2016-08-21,17894.5053,18470.186,32197.9343
2016-08-28,21251.740999999998,12487.468,18584.2566
2016-09-04,13343.4931,22314.39,28637.2961
2016-09-11,16033.6512,22673.0805,31440.327099999995
2016-09-18,31194.716,30062.476499999997,23579.6155
2016-09-25,11933.635,28473.459000000003,24269.9863
2016-10-02,15241.145499999999,28098.041999999998,23680.2223
2016-10-09,14345.968,21849.765,23144.52
2016-10-16,20969.9511,24940.657,19515.282499999998
2016-10-23,16447.725,25257.015,17476.4254
2016-10-30,15300.411,13163.962,22213.3289
2016-11-06,11600.344,26097.882999999998,30795.344999999998
2016-11-13,18949.8855,30253.6955,25770.869599999998
2016-11-20,11246.403,17857.0875,21620.137
2016-11-27,24663.9057,33649.381499999996,41307.1449
2016-12-04,19596.5196,22944.4215,29060.745
2016-12-11,17919.1201,21790.293,33251.1256
2016-12-18,89509.1596,52757.5286,27942.2171
2016-12-25,35232.4931,17954.3903,54019.3675
2017-01-01,23798.877200000003,13586.750100000001,23913.6499
2017-01-08,15117.080300000001,26703.341,34921.215
2017-01-15,26604.9231,33397.657999999996,32877.525799999996
2017-01-22,23864.379,29997.429,28195.1383
2017-01-29,28684.2955,23777.236,29550.4804
2017-02-05,22001.9555,25790.8175,36671.4264
2017-02-12,21391.9545,29276.744000000002,23422.716800000002
2017-02-19,28712.586000000003,13919.339,27877.665199999996
2017-02-26,28176.8837,20373.0835,26563.1275
2017-03-05,24380.216,21896.2275,32001.387600000002
2017-03-12,20723.101,30612.1795,34866.3686
2017-03-19,21065.891,24866.317,30004.5326
2017-03-26,16972.5241,18336.993499999997,25753.1106
2017-04-02,18397.911,16967.692000000003,25334.080800000003
2017-04-09,13882.6646,23342.760000000002,31975.864200000004
2017-04-16,21557.361000000004,22797.8065,25587.7454
2017-04-23,13294.3048,24643.0905,27342.4585
2017-04-30,12854.212,17722.656000000003,42610.5316
2017-05-07,18871.622,33260.5833,39228.805
2017-05-14,16761.4811,22473.1885,23245.23005
2017-05-21,13940.1955,13199.2735,20153.161
2017-05-28,29089.242,19713.9355,27127.1616
2017-06-04,23710.9495,29358.518,27229.8747
2017-06-11,20212.633,21554.6765,33190.7863
2017-06-18,14137.815999999999,14739.557,19513.3414
2017-06-25,10097.024,11587.3345,33853.775200000004
2017-07-02,18350.0856,34025.418,35893.293099999995
2017-07-09,22638.182,28272.5345,32579.752800000002
2017-07-16,17458.7077,31762.591,26150.334
2017-07-23,12589.4377,32417.609,45225.771499999995
2017-07-30,18842.9185,22877.5155,25159.5883
2017-08-06,18072.467,28990.328500000003,27539.4595
2017-08-13,19135.1986,29747.3575,26554.0828
2017-08-20,17515.329999999998,19675.733,31875.7117
2017-08-27,28123.0285,27532.4385,32176.169199999997
2017-09-03,27464.2935,23259.747,34316.2113
2017-09-10,17147.760000000002,25610.956,29571.584700000003
2017-09-17,28590.750999999997,24128.4512,32259.7604
2017-09-24,22011.0415,33417.481999999996,33183.7653
2017-10-01,17226.23,17528.752500000002,36749.1117
2017-10-08,23397.4825,25841.41,43535.3625
2017-10-15,25579.7745,24585.89,32438.672000000002
2017-10-22,18079.6945,18166.218,40597.074
