data,Football,Casual,Fishing
2013-12-31,613.9658000000001,0.0,0.0
2014-12-31,247.387,0.0,473.711
2015-12-31,710606.4577500001,912282.6797,657498.9323
2016-12-31,978257.2821,1240689.0461,1321584.9668
2017-12-31,1105026.104,1295529.9945,1626858.27395
2018-12-31,1532611.7221333333,1287187.7249,1511200.9073
2019-12-31,1866487.5026,839073.928,1190487.4919
2020-12-31,1194436.7631,1011377.6381333333,1446974.1622
2021-12-31,907201.9537,849528.8165,1268922.0978
2022-12-31,1066644.1142,500390.9239,973183.8249
2023-12-31,358722.5488,218414.1414,342890.9785
